2019-11-25.15:14:30 ERROR [main] com.wl.web.blog.dao.ArticalDaoTest.findArticalAll:41  查询失败
2019-11-25.15:15:23 ERROR [main] com.wl.web.blog.util.BeanHandler.convertArticle:124  文章数据结果集解析异常
2019-11-25.15:18:55 ERROR [main] com.wl.web.blog.dao.ArticalDaoTest.batchInsert:29  批量插入失败
2019-11-25.15:20:38 ERROR [main] com.wl.web.blog.util.BeanHandler.convertArticle:124  文章数据结果集解析异常
2019-11-25.15:26:00 ERROR [main] com.wl.web.blog.util.BeanHandler.convertArticle:124  文章数据结果集解析异常
2019-11-25.15:26:53 ERROR [main] com.wl.web.blog.util.BeanHandler.convertArticle:125  文章数据结果集解析异常
2019-11-25.15:27:22 ERROR [main] com.wl.web.blog.util.BeanHandler.convertArticle:126  文章数据结果集解析异常
2019-11-25.15:28:23 ERROR [main] com.wl.web.blog.util.BeanHandler.convertArticle:126  文章数据结果集解析异常
2019-11-25.15:28:52 ERROR [main] com.wl.web.blog.util.BeanHandler.convertUser:60  用户数据结果集解析产生异常
2019-11-25.15:29:33 ERROR [main] com.wl.web.blog.util.BeanHandler.convertUser:60  用户数据结果集解析产生异常
2019-11-25.15:30:25 ERROR [main] com.wl.web.blog.util.BeanHandler.convertArticle:126  文章数据结果集解析异常
